2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
30,27,46,41,37,24,44,33,30,25,23,30,30,26
42,24,27,50,43,26,23,35,34,27,32,24,43,38
62,19,44,23,42,30,21,48,25,43,30,46,21,37
30,46,45,42,27,32,40,40,33,33,52,44,32,56
39,25,26,44,37,27,26,52,21,43,25,37,37,33
54,32,46,30,32,40,50,40,50,51,32,27,39,41
35,32,29,25,32,28,29,29,34,30,34,23,45,49
25,27,24,26,28,33,42,26,39,22,33,29,47,41
36,37,19,28,31,27,33,38,49,23,37,27,31,26
29,27,21,28,20,31,22,29,39,23,34,26,27,31
54,56,25,29,25,34,23,28,26,31,30,35,37,45
23,58,41,39,25,39,35,41,31,31,23,31,44,44
34,41,23,54,35,29,48,28,47,25,33,31,52,35
23,27,24,28,55,23,26,41,29,24,41,48,53,20
28,20,39,18,27,32,32,33,28,25,41,46,27,55
25,27,37,24,32,25,41,33,34,45,37,36,45,39
26,41,29,43,26,27,26,25,25,46,30,40,33,38
24,27,24,37,30,24,29,30,29,28,28,42,45,48
30,42,30,30,25,19,36,26,16,26,35,44,37,29
26,26,57,33,24,36,29,57,40,33,28,28,43,27
27,53,25,31,26,47,30,29,27,30,28,32,31,31
32,47,23,42,33,23,50,33,32,37,46,49,35,30
25,24,25,36,40,39,19,25,18,43,34,24,34,40
46,28,26,33,45,28,32,20,24,33,47,50,48,30
27,28,25,45,36,39,41,40,17,28,38,39,24,23
30,32,50,41,44,21,36,45,60,23,32,36,31,30
27,29,34,38,39,24,24,53,20,46,37,28,31,52
21,38,23,28,23,28,30,23,26,18,39,52,40,35
31,27,45,38,25,28,24,39,25,32,30,46,40,29
31,35,29,33,46,42,24,33,29,24,36,23,27,35
27,26,24,40,24,50,44,24,23,58,52,44,40,31
28,29,23,23,48,41,33,33,39,59,29,23,37,36
23,19,34,31,37,32,30,31,28,25,46,29,31,36
32,26,30,27,28,31,43,23,47,39,27,25,37,28
50,25,36,27,55,44,31,37,22,33,35,28,36,26
28,26,19,35,34,58,30,27,27,37,22,38,29,36
24,45,30,24,38,29,49,22,41,27,37,26,31,27
40,53,52,27,40,21,31,30,43,40,58,37,29,42
32,22,25,25,23,28,33,22,27,32,33,54,54,26
24,33,24,27,37,40,27,29,34,27,32,35,24,44
